date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type
"2025-01-11,14:05:17",[  183] ,[ 1096] *,[  636] ,[ 1292] *,[ 1385] *,[  839] ,[  559] ,[  357] ,[ 2099] **,[  105] ,20250111_140517_foto.jpg,jpc
"2025-01-11,14:05:25",[  183] ,[ 1095] *,[  635] ,[ 1291] *,[ 1385] *,[  839] ,[  559] ,[  357] ,[ 2099] **,[  104] ,20250111_140525_foto.jpg,jpc
"2025-01-11,14:05:32",[  183] ,[ 1095] *,[  635] ,[ 1291] *,[ 1384] *,[  839] ,[  558] ,[  356] ,[ 2097] **,[  104] ,20250111_140532_foto.jpg,jpc
"2025-01-11,14:05:44",[  183] ,[ 1095] *,[  635] ,[ 1291] *,[ 1385] *,[  839] ,[  559] ,[  357] ,[ 2097] **,[  104] ,20250111_140544_foto.jpg,jpc
"2025-01-11,14:05:51",[  183] ,[ 1094] *,[  635] ,[ 1290] *,[ 1384] *,[  838] ,[  558] ,[  356] ,[ 2095] **,[  104] ,20250111_140551_foto.jpg,jpc
"2025-01-11,14:06:00",[  183] ,[ 1094] *,[  635] ,[ 1290] *,[ 1384] *,[  838] ,[  558] ,[  356] ,[ 2096] **,[  104] ,20250111_140600_foto.jpg,jpc
"2025-01-11,14:06:07",[  183] ,[ 1094] *,[  634] ,[ 1289] *,[ 1383] *,[  838] ,[  558] ,[  356] ,[ 2095] **,[  104] ,20250111_140607_foto.jpg,jpc
"2025-01-11,14:06:15",[  182] ,[ 1094] *,[  634] ,[ 1290] *,[ 1383] *,[  838] ,[  558] ,[  356] ,[ 2094] **,[  104] ,20250111_140615_foto.jpg,jpc
"2025-01-11,14:06:23",[  182] ,[ 1094] *,[  634] ,[ 1289] *,[ 1382] *,[  837] ,[  558] ,[  356] ,[ 2096] **,[  104] ,20250111_140623_foto.jpg,jpc
"2025-01-11,14:06:32",[  182] ,[ 1093] *,[  634] ,[ 1289] *,[ 1383] *,[  837] ,[  558] ,[  356] ,[ 2098] **,[  104] ,20250111_140632_foto.jpg,jpc
"2025-01-11,14:06:40",[  183] ,[ 1093] *,[  634] ,[ 1289] *,[ 1382] *,[  837] ,[  557] ,[  356] ,[ 2096] **,[  104] ,20250111_140640_foto.jpg,jpc
"2025-01-11,14:06:48",[  182] ,[ 1093] *,[  634] ,[ 1288] *,[ 1382] *,[  837] ,[  558] ,[  356] ,[ 2097] **,[  104] ,20250111_140648_foto.jpg,jpc
"2025-01-11,14:06:55",[  182] ,[ 1093] *,[  634] ,[ 1289] *,[ 1382] *,[  837] ,[  558] ,[  356] ,[ 2098] **,[  104] ,20250111_140655_foto.jpg,jpc
"2025-01-11,14:07:02",[  182] ,[ 1092] *,[  634] ,[ 1288] *,[ 1382] *,[  837] ,[  557] ,[  356] ,[ 2096] **,[  104] ,20250111_140702_foto.jpg,jpc
"2025-01-11,14:07:10",[  182] ,[ 1092] *,[  633] ,[ 1287] *,[ 1381] *,[  836] ,[  557] ,[  356] ,[ 2094] **,[  104] ,20250111_140710_foto.jpg,jpc
"2025-01-11,14:07:20",[  182] ,[ 1093] *,[  634] ,[ 1289] *,[ 1382] *,[  837] ,[  557] ,[  356] ,[ 2095] **,[  104] ,20250111_140720_foto.jpg,jpc
"2025-01-11,14:07:28",[  182] ,[ 1092] *,[  633] ,[ 1288] *,[ 1382] *,[  837] ,[  558] ,[  356] ,[ 2096] **,[  105] ,20250111_140728_foto.jpg,jpc
"2025-01-11,14:08:06",[  182] ,[ 1092] *,[  633] ,[ 1287] *,[ 1381] *,[  837] ,[  557] ,[  356] ,[ 2094] **,[  104] ,20250111_140806_foto.jpg,jpc
"2025-01-11,14:08:14",[  182] ,[ 1092] *,[  632] ,[ 1288] *,[ 1381] *,[  837] ,[  557] ,[  356] ,[ 2096] **,[  104] ,20250111_140814_foto.jpg,jpc
"2025-01-11,14:08:22",[  182] ,[ 1092] *,[  633] ,[ 1288] *,[ 1381] *,[  837] ,[  557] ,[  355] ,[ 2096] **,[  104] ,20250111_140822_foto.jpg,jpc
"2025-01-11,14:08:31",[  182] ,[ 1092] *,[  633] ,[ 1288] *,[ 1381] *,[  837] ,[  557] ,[  356] ,[ 2097] **,[  104] ,20250111_140831_foto.jpg,jpc
"2025-01-11,14:08:40",[  182] ,[ 1092] *,[  633] ,[ 1288] *,[ 1382] *,[  837] ,[  558] ,[  356] ,[ 2097] **,[  104] ,20250111_140840_foto.jpg,jpc
"2025-01-11,14:08:47",[  182] ,[ 1092] *,[  633] ,[ 1288] *,[ 1381] *,[  836] ,[  557] ,[  356] ,[ 2096] **,[  105] ,20250111_140847_foto.jpg,jpc
"2025-01-11,14:08:56",[  182] ,[ 1092] *,[  633] ,[ 1287] *,[ 1381] *,[  836] ,[  557] ,[  355] ,[ 2096] **,[  104] ,20250111_140856_foto.jpg,jpc
"2025-01-11,14:09:03",[  182] ,[ 1091] *,[  632] ,[ 1287] *,[ 1380] *,[  836] ,[  557] ,[  356] ,[ 2094] **,[  104] ,20250111_140903_foto.jpg,jpc
"2025-01-11,14:09:11",[  182] ,[ 1090] *,[  632] ,[ 1286] *,[ 1381] *,[  836] ,[  557] ,[  355] ,[ 2093] **,[  104] ,20250111_140911_foto.jpg,jpc
"2025-01-11,14:09:24",[  182] ,[ 1074] *,[  624] ,[ 1272] *,[ 1367] *,[  823] ,[  551] ,[  351] ,[ 2117] **,[  105] ,20250111_140924_foto.jpg,jpc
"2025-01-11,14:09:37",[  182] ,[ 1074] *,[  624] ,[ 1274] *,[ 1368] *,[  823] ,[  551] ,[  352] ,[ 2117] **,[  105] ,20250111_140937_foto.jpg,jpc
"2025-01-11,14:09:49",[  182] ,[ 1076] *,[  625] ,[ 1275] *,[ 1369] *,[  824] ,[  551] ,[  351] ,[ 2121] **,[  105] ,20250111_140949_foto.jpg,jpc
"2025-01-11,14:10:06",[  184] ,[ 1111] *,[  642] ,[ 1304] *,[ 1398] *,[  850] ,[  564] ,[  359] ,[ 2094] **,[  104] ,20250111_141006_foto.jpg,jpc
"2025-01-11,14:10:26",[  183] ,[ 1078] *,[  626] ,[ 1277] *,[ 1370] *,[  825] ,[  551] ,[  352] ,[ 2124] **,[  105] ,20250111_141026_foto.jpg,jpc
"2025-01-11,14:10:52",[  183] ,[ 1080] *,[  626] ,[ 1279] *,[ 1373] *,[  826] ,[  551] ,[  352] ,[ 2127] **,[  106] ,20250111_141052_foto.jpg,jpc
"2025-01-11,14:11:04",[  183] ,[ 1078] *,[  626] ,[ 1278] *,[ 1371] *,[  826] ,[  551] ,[  352] ,[ 2125] **,[  106] ,20250111_141104_foto.jpg,jpc
"2025-01-11,14:11:21",[  183] ,[ 1077] *,[  626] ,[ 1276] *,[ 1370] *,[  825] ,[  551] ,[  351] ,[ 2123] **,[  106] ,20250111_141121_foto.jpg,jpc
"2025-01-11,14:11:35",[  183] ,[ 1077] *,[  625] ,[ 1276] *,[ 1369] *,[  825] ,[  550] ,[  351] ,[ 2122] **,[  105] ,20250111_141135_foto.jpg,jpc
"2025-01-11,14:11:55",[  183] ,[ 1077] *,[  626] ,[ 1276] *,[ 1369] *,[  824] ,[  551] ,[  351] ,[ 2122] **,[  106] ,20250111_141155_foto.jpg,jpc
"2025-01-11,14:12:12",[  183] ,[ 1078] *,[  626] ,[ 1276] *,[ 1370] *,[  825] ,[  551] ,[  351] ,[ 2124] **,[  105] ,20250111_141212_foto.jpg,jpc
"2025-01-11,14:12:26",[  183] ,[ 1078] *,[  626] ,[ 1277] *,[ 1370] *,[  825] ,[  551] ,[  352] ,[ 2124] **,[  106] ,20250111_141226_foto.jpg,jpc
"2025-01-11,14:12:43",[  183] ,[ 1077] *,[  626] ,[ 1277] *,[ 1370] *,[  825] ,[  551] ,[  352] ,[ 2123] **,[  105] ,20250111_141243_foto.jpg,jpc
"2025-01-11,14:12:55",[  183] ,[ 1077] *,[  626] ,[ 1275] *,[ 1369] *,[  825] ,[  551] ,[  352] ,[ 2123] **,[  106] ,20250111_141255_foto.jpg,jpc
"2025-01-11,14:13:06",[  183] ,[ 1077] *,[  626] ,[ 1276] *,[ 1370] *,[  825] ,[  551] ,[  351] ,[ 2123] **,[  106] ,20250111_141306_foto.jpg,jpc
"2025-01-11,14:13:16",[  182] ,[ 1076] *,[  626] ,[ 1274] *,[ 1370] *,[  825] ,[  551] ,[  351] ,[ 2123] **,[  105] ,20250111_141316_foto.jpg,jpc
"2025-01-11,14:13:28",[  183] ,[ 1078] *,[  627] ,[ 1276] *,[ 1370] *,[  825] ,[  552] ,[  352] ,[ 2124] **,[  106] ,20250111_141328_foto.jpg,jpc
"2025-01-11,14:13:40",[  185] ,[ 1124] *,[  649] ,[ 1315] *,[ 1409] *,[  861] ,[  570] ,[  363] ,[ 2086] **,[  104] ,20250111_141340_foto.jpg,jpc
"2025-01-11,14:13:51",[  185] ,[ 1122] *,[  648] ,[ 1312] *,[ 1407] *,[  860] ,[  570] ,[  362] ,[ 2086] **,[  104] ,20250111_141351_foto.jpg,jpc
"2025-01-11,14:14:02",[  185] ,[ 1121] *,[  648] ,[ 1313] *,[ 1407] *,[  859] ,[  570] ,[  363] ,[ 2091] **,[  104] ,20250111_141402_foto.jpg,jpc
"2025-01-11,14:14:19",[  182] ,[ 1076] *,[  626] ,[ 1276] *,[ 1369] *,[  824] ,[  551] ,[  352] ,[ 2124] **,[  105] ,20250111_141419_foto.jpg,jpc
"2025-01-11,14:14:30",[  183] ,[ 1077] *,[  627] ,[ 1277] *,[ 1370] *,[  825] ,[  551] ,[  352] ,[ 2125] **,[  106] ,20250111_141430_foto.jpg,jpc
"2025-01-11,14:14:43",[  183] ,[ 1079] *,[  627] ,[ 1278] *,[ 1371] *,[  826] ,[  551] ,[  352] ,[ 2126] **,[  106] ,20250111_141443_foto.jpg,jpc
"2025-01-11,14:14:54",[  183] ,[ 1078] *,[  627] ,[ 1277] *,[ 1371] *,[  825] ,[  551] ,[  352] ,[ 2125] **,[  106] ,20250111_141454_foto.jpg,jpc
"2025-01-11,14:15:15",[  183] ,[ 1076] *,[  626] ,[ 1275] *,[ 1371] *,[  825] ,[  551] ,[  352] ,[ 2122] **,[  105] ,20250111_141515_foto.jpg,jpc
"2025-01-11,14:15:25",[  183] ,[ 1077] *,[  627] ,[ 1276] *,[ 1369] *,[  824] ,[  551] ,[  351] ,[ 2122] **,[  105] ,20250111_141525_foto.jpg,jpc
"2025-01-11,14:15:37",[  183] ,[ 1078] *,[  627] ,[ 1275] *,[ 1370] *,[  825] ,[  551] ,[  352] ,[ 2124] **,[  106] ,20250111_141537_foto.jpg,jpc
