date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type
"2025-01-10,17:39:56",[  224] ,[ 1470] *,[  764] ,[ 1594] *,[ 1686] *,[ 1123] *,[  703] ,[  435] ,[ 1695] *,[   87] ,20250110_173956_foto.jpg,conchuela
"2025-01-10,17:40:04",[  224] ,[ 1470] *,[  764] ,[ 1594] *,[ 1687] *,[ 1123] *,[  703] ,[  436] ,[ 1696] *,[   86] ,20250110_174004_foto.jpg,conchuela
"2025-01-10,17:40:12",[  224] ,[ 1470] *,[  764] ,[ 1593] *,[ 1687] *,[ 1123] *,[  703] ,[  435] ,[ 1695] *,[   87] ,20250110_174012_foto.jpg,conchuela
"2025-01-10,17:40:19",[  223] ,[ 1469] *,[  764] ,[ 1593] *,[ 1686] *,[ 1122] *,[  702] ,[  435] ,[ 1695] *,[   86] ,20250110_174019_foto.jpg,conchuela
"2025-01-10,17:40:27",[  224] ,[ 1471] *,[  765] ,[ 1593] *,[ 1687] *,[ 1123] *,[  703] ,[  436] ,[ 1695] *,[   87] ,20250110_174027_foto.jpg,conchuela
"2025-01-10,17:40:35",[  223] ,[ 1470] *,[  764] ,[ 1593] *,[ 1687] *,[ 1122] *,[  702] ,[  435] ,[ 1696] *,[   86] ,20250110_174035_foto.jpg,conchuela
"2025-01-10,17:40:42",[  224] ,[ 1471] *,[  765] ,[ 1594] *,[ 1687] *,[ 1123] *,[  703] ,[  436] ,[ 1696] *,[   87] ,20250110_174042_foto.jpg,conchuela
"2025-01-10,17:40:49",[  224] ,[ 1471] *,[  765] ,[ 1593] *,[ 1687] *,[ 1122] *,[  703] ,[  436] ,[ 1697] *,[   86] ,20250110_174049_foto.jpg,conchuela
"2025-01-10,17:40:57",[  224] ,[ 1470] *,[  765] ,[ 1593] *,[ 1686] *,[ 1122] *,[  702] ,[  435] ,[ 1693] *,[   87] ,20250110_174057_foto.jpg,conchuela
"2025-01-10,17:41:06",[  224] ,[ 1470] *,[  764] ,[ 1593] *,[ 1684] *,[ 1121] *,[  701] ,[  435] ,[ 1692] *,[   86] ,20250110_174106_foto.jpg,conchuela
"2025-01-10,17:41:14",[  223] ,[ 1470] *,[  764] ,[ 1592] *,[ 1686] *,[ 1122] *,[  702] ,[  435] ,[ 1694] *,[   86] ,20250110_174114_foto.jpg,conchuela
"2025-01-10,17:41:22",[  224] ,[ 1470] *,[  765] ,[ 1592] *,[ 1686] *,[ 1122] *,[  702] ,[  435] ,[ 1694] *,[   86] ,20250110_174122_foto.jpg,conchuela
"2025-01-10,17:42:48",[  224] ,[ 1470] *,[  765] ,[ 1592] *,[ 1686] *,[ 1121] *,[  702] ,[  435] ,[ 1694] *,[   86] ,20250110_174248_foto.jpg,conchuela
"2025-01-10,17:43:10",[  224] ,[ 1472] *,[  765] ,[ 1593] *,[ 1687] *,[ 1122] *,[  701] ,[  435] ,[ 1694] *,[   86] ,20250110_174310_foto.jpg,conchuela
"2025-01-10,17:43:17",[  224] ,[ 1472] *,[  765] ,[ 1593] *,[ 1687] *,[ 1122] *,[  701] ,[  435] ,[ 1696] *,[   86] ,20250110_174317_foto.jpg,conchuela
"2025-01-10,17:43:38",[  225] ,[ 1474] *,[  766] ,[ 1594] *,[ 1688] *,[ 1123] *,[  701] ,[  435] ,[ 1695] *,[   86] ,20250110_174338_foto.jpg,conchuela
"2025-01-10,17:43:55",[  224] ,[ 1472] *,[  766] ,[ 1592] *,[ 1687] *,[ 1121] *,[  701] ,[  434] ,[ 1700] *,[   86] ,20250110_174355_foto.jpg,conchuela
"2025-01-10,17:44:18",[  223] ,[ 1464] *,[  763] ,[ 1585] *,[ 1679] *,[ 1115] *,[  698] ,[  433] ,[ 1710] *,[   87] ,20250110_174418_foto.jpg,conchuela
"2025-01-10,17:44:34",[  222] ,[ 1455] *,[  761] ,[ 1578] *,[ 1672] *,[ 1108] *,[  695] ,[  432] ,[ 1721] *,[   87] ,20250110_174434_foto.jpg,conchuela
"2025-01-10,17:44:47",[  222] ,[ 1458] *,[  762] ,[ 1580] *,[ 1675] *,[ 1111] *,[  696] ,[  432] ,[ 1717] *,[   87] ,20250110_174447_foto.jpg,conchuela
"2025-01-10,17:45:02",[  221] ,[ 1452] *,[  760] ,[ 1575] *,[ 1669] *,[ 1105] *,[  692] ,[  430] ,[ 1724] *,[   88] ,20250110_174502_foto.jpg,conchuela
"2025-01-10,17:45:18",[  223] ,[ 1465] *,[  764] ,[ 1585] *,[ 1678] *,[ 1115] *,[  698] ,[  433] ,[ 1705] *,[   87] ,20250110_174518_foto.jpg,conchuela
"2025-01-10,17:45:34",[  223] ,[ 1464] *,[  763] ,[ 1583] *,[ 1677] *,[ 1113] *,[  697] ,[  433] ,[ 1703] *,[   87] ,20250110_174534_foto.jpg,conchuela
"2025-01-10,17:45:51",[  223] ,[ 1462] *,[  764] ,[ 1582] *,[ 1675] *,[ 1112] *,[  696] ,[  432] ,[ 1709] *,[   87] ,20250110_174551_foto.jpg,conchuela
"2025-01-10,17:46:37",[  223] ,[ 1463] *,[  764] ,[ 1583] *,[ 1678] *,[ 1113] *,[  696] ,[  432] ,[ 1710] *,[   87] ,20250110_174637_foto.jpg,conchuela
"2025-01-10,17:48:06",[  223] ,[ 1460] *,[  765] ,[ 1580] *,[ 1673] *,[ 1110] *,[  696] ,[  433] ,[ 1714] *,[   87] ,20250110_174806_foto.jpg,conchuela
"2025-01-10,17:48:31",[  223] ,[ 1457] *,[  764] ,[ 1577] *,[ 1670] *,[ 1107] *,[  694] ,[  432] ,[ 1717] *,[   87] ,20250110_174831_foto.jpg,conchuela
"2025-01-10,17:48:44",[  220] ,[ 1441] *,[  759] ,[ 1565] *,[ 1658] *,[ 1095] *,[  688] ,[  428] ,[ 1736] *,[   88] ,20250110_174844_foto.jpg,conchuela
"2025-01-10,17:49:10",[  220] ,[ 1440] *,[  759] ,[ 1565] *,[ 1659] *,[ 1095] *,[  687] ,[  427] ,[ 1735] *,[   88] ,20250110_174910_foto.jpg,conchuela
"2025-01-10,17:49:22",[  219] ,[ 1433] *,[  756] ,[ 1558] *,[ 1651] *,[ 1088] *,[  684] ,[  426] ,[ 1742] *,[   88] ,20250110_174922_foto.jpg,conchuela
"2025-01-10,17:49:33",[  218] ,[ 1430] *,[  755] ,[ 1555] *,[ 1649] *,[ 1086] *,[  683] ,[  425] ,[ 1744] *,[   88] ,20250110_174933_foto.jpg,conchuela
"2025-01-10,17:49:47",[  218] ,[ 1429] *,[  755] ,[ 1555] *,[ 1648] *,[ 1085] *,[  682] ,[  426] ,[ 1744] *,[   88] ,20250110_174947_foto.jpg,conchuela
"2025-01-10,17:49:57",[  218] ,[ 1429] *,[  755] ,[ 1554] *,[ 1647] *,[ 1085] *,[  682] ,[  425] ,[ 1745] *,[   88] ,20250110_174957_foto.jpg,conchuela
"2025-01-10,17:50:05",[  218] ,[ 1428] *,[  755] ,[ 1554] *,[ 1647] *,[ 1085] *,[  682] ,[  425] ,[ 1744] *,[   88] ,20250110_175005_foto.jpg,conchuela
"2025-01-10,17:50:27",[  218] ,[ 1425] *,[  754] ,[ 1552] *,[ 1643] *,[ 1081] *,[  681] ,[  424] ,[ 1748] *,[   88] ,20250110_175027_foto.jpg,conchuela
"2025-01-10,17:50:36",[  218] ,[ 1426] *,[  754] ,[ 1552] *,[ 1646] *,[ 1083] *,[  681] ,[  424] ,[ 1752] *,[   89] ,20250110_175036_foto.jpg,conchuela
"2025-01-10,17:50:43",[  217] ,[ 1425] *,[  753] ,[ 1551] *,[ 1644] *,[ 1082] *,[  680] ,[  424] ,[ 1750] *,[   89] ,20250110_175043_foto.jpg,conchuela
"2025-01-10,17:50:58",[  217] ,[ 1424] *,[  753] ,[ 1550] *,[ 1642] *,[ 1081] *,[  680] ,[  424] ,[ 1749] *,[   88] ,20250110_175058_foto.jpg,conchuela
"2025-01-10,17:51:11",[  217] ,[ 1424] *,[  753] ,[ 1550] *,[ 1644] *,[ 1082] *,[  681] ,[  424] ,[ 1751] *,[   89] ,20250110_175111_foto.jpg,conchuela
"2025-01-10,17:51:24",[  217] ,[ 1424] *,[  753] ,[ 1550] *,[ 1644] *,[ 1081] *,[  681] ,[  424] ,[ 1752] *,[   89] ,20250110_175124_foto.jpg,conchuela
"2025-01-10,17:51:36",[  217] ,[ 1424] *,[  753] ,[ 1550] *,[ 1643] *,[ 1081] *,[  680] ,[  424] ,[ 1750] *,[   89] ,20250110_175136_foto.jpg,conchuela
"2025-01-10,17:51:48",[  217] ,[ 1424] *,[  753] ,[ 1550] *,[ 1643] *,[ 1081] *,[  679] ,[  423] ,[ 1750] *,[   89] ,20250110_175148_foto.jpg,conchuela
"2025-01-10,17:52:02",[  217] ,[ 1422] *,[  752] ,[ 1548] *,[ 1641] *,[ 1079] *,[  679] ,[  423] ,[ 1751] *,[   89] ,20250110_175202_foto.jpg,conchuela
"2025-01-10,17:52:20",[  216] ,[ 1421] *,[  752] ,[ 1547] *,[ 1640] *,[ 1079] *,[  678] ,[  423] ,[ 1751] *,[   89] ,20250110_175220_foto.jpg,conchuela
"2025-01-10,17:52:36",[  216] ,[ 1421] *,[  752] ,[ 1546] *,[ 1642] *,[ 1079] *,[  679] ,[  423] ,[ 1752] *,[   89] ,20250110_175236_foto.jpg,conchuela
"2025-01-10,17:52:50",[  211] ,[ 1383] *,[  739] ,[ 1518] *,[ 1613] *,[ 1050] *,[  664] ,[  414] ,[ 1797] *,[   91] ,20250110_175250_foto.jpg,conchuela
"2025-01-10,17:53:07",[  212] ,[ 1393] *,[  741] ,[ 1520] *,[ 1618] *,[ 1054] *,[  667] ,[  415] ,[ 1819] *,[   92] ,20250110_175307_foto.jpg,conchuela
"2025-01-10,17:53:28",[  210] ,[ 1381] *,[  738] ,[ 1512] *,[ 1608] *,[ 1045] *,[  663] ,[  413] ,[ 1831] *,[   92] ,20250110_175328_foto.jpg,conchuela
"2025-01-10,17:53:43",[  208] ,[ 1367] *,[  734] ,[ 1501] *,[ 1598] *,[ 1035] *,[  657] ,[  410] ,[ 1847] *,[   93] ,20250110_175343_foto.jpg,conchuela
"2025-01-10,17:54:11",[  207] ,[ 1357] *,[  730] ,[ 1495] *,[ 1592] *,[ 1028] *,[  653] ,[  407] ,[ 1863] *,[   94] ,20250110_175411_foto.jpg,conchuela
"2025-01-10,17:54:27",[  207] ,[ 1356] *,[  730] ,[ 1492] *,[ 1590] *,[ 1026] *,[  652] ,[  407] ,[ 1863] *,[   94] ,20250110_175427_foto.jpg,conchuela
