date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-11,13:32:13",[  218] ,[ 1429] *,[  762] ,[ 1540] *,[ 1632] *,[ 1064] *,[  678] ,[  421] ,[ 1951] *,[   95] ,20250111_133213_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133213_foto_normalized.npy,0.11058,0.11081,0.10969,0.07335,0.07282,0.07139
"2025-01-11,13:32:23",[  218] ,[ 1428] *,[  762] ,[ 1540] *,[ 1631] *,[ 1064] *,[  678] ,[  421] ,[ 1951] *,[   95] ,20250111_133223_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133223_foto_normalized.npy,0.1106,0.11064,0.11045,0.07294,0.07214,0.07193
"2025-01-11,13:33:07",[  218] ,[ 1432] *,[  763] ,[ 1541] *,[ 1633] *,[ 1066] *,[  679] ,[  422] ,[ 1951] *,[   95] ,20250111_133307_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133307_foto_normalized.npy,0.11182,0.11079,0.11117,0.07445,0.07236,0.07288
"2025-01-11,13:33:19",[  219] ,[ 1432] *,[  763] ,[ 1542] *,[ 1633] *,[ 1066] *,[  679] ,[  422] ,[ 1948] *,[   95] ,20250111_133319_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133319_foto_normalized.npy,0.11088,0.11098,0.11092,0.07332,0.07252,0.07248
"2025-01-11,13:33:31",[  219] ,[ 1433] *,[  763] ,[ 1543] *,[ 1634] *,[ 1067] *,[  680] ,[  422] ,[ 1954] *,[   95] ,20250111_133331_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133331_foto_normalized.npy,0.11241,0.11214,0.11129,0.07489,0.07362,0.07257
"2025-01-11,13:33:38",[  218] ,[ 1432] *,[  763] ,[ 1542] *,[ 1633] *,[ 1066] *,[  679] ,[  422] ,[ 1951] *,[   95] ,20250111_133338_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133338_foto_normalized.npy,0.112,0.11135,0.1112,0.07434,0.07273,0.07248
"2025-01-11,13:33:46",[  219] ,[ 1433] *,[  763] ,[ 1542] *,[ 1635] *,[ 1067] *,[  679] ,[  422] ,[ 1954] *,[   95] ,20250111_133346_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133346_foto_normalized.npy,0.1112,0.11116,0.11079,0.07357,0.07264,0.07217
"2025-01-11,13:33:57",[  219] ,[ 1433] *,[  763] ,[ 1543] *,[ 1634] *,[ 1067] *,[  680] ,[  422] ,[ 1948] *,[   95] ,20250111_133357_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133357_foto_normalized.npy,0.11174,0.11115,0.11153,0.07497,0.07324,0.0737
"2025-01-11,13:34:05",[  219] ,[ 1434] *,[  763] ,[ 1544] *,[ 1634] *,[ 1067] *,[  680] ,[  422] ,[ 1946] *,[   95] ,20250111_133405_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133405_foto_normalized.npy,0.11141,0.1109,0.11084,0.07467,0.073,0.07287
"2025-01-11,13:34:16",[  219] ,[ 1435] *,[  764] ,[ 1544] *,[ 1635] *,[ 1067] *,[  680] ,[  422] ,[ 1953] *,[   95] ,20250111_133416_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133416_foto_normalized.npy,0.11155,0.11097,0.11113,0.07441,0.07289,0.07317
"2025-01-11,13:34:26",[  219] ,[ 1434] *,[  764] ,[ 1543] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1953] *,[   95] ,20250111_133426_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133426_foto_normalized.npy,0.11177,0.11049,0.1108,0.07426,0.07191,0.07237
"2025-01-11,13:34:52",[  219] ,[ 1434] *,[  764] ,[ 1544] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1949] *,[   95] ,20250111_133452_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133452_foto_normalized.npy,0.11192,0.11158,0.11181,0.07433,0.07311,0.07343
"2025-01-11,13:35:11",[  219] ,[ 1436] *,[  764] ,[ 1544] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1947] *,[   95] ,20250111_133511_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133511_foto_normalized.npy,0.11207,0.11075,0.11073,0.07461,0.07221,0.07212
"2025-01-11,13:35:28",[  219] ,[ 1435] *,[  764] ,[ 1543] *,[ 1634] *,[ 1068] *,[  680] ,[  422] ,[ 1946] *,[   95] ,20250111_133528_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133528_foto_normalized.npy,0.11134,0.11116,0.11094,0.0737,0.07284,0.07251
"2025-01-11,13:35:42",[  219] ,[ 1435] *,[  764] ,[ 1544] *,[ 1636] *,[ 1069] *,[  680] ,[  422] ,[ 1950] *,[   95] ,20250111_133542_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133542_foto_normalized.npy,0.11203,0.11125,0.11133,0.07454,0.07267,0.07276
"2025-01-11,13:35:58",[  219] ,[ 1434] *,[  764] ,[ 1544] *,[ 1633] *,[ 1067] *,[  679] ,[  422] ,[ 1941] *,[   95] ,20250111_133558_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133558_foto_normalized.npy,0.11124,0.11025,0.11084,0.07372,0.07166,0.07231
"2025-01-11,13:36:11",[  219] ,[ 1435] *,[  764] ,[ 1544] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1944] *,[   95] ,20250111_133611_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133611_foto_normalized.npy,0.11201,0.11116,0.11122,0.07457,0.07276,0.07291
"2025-01-11,13:38:58",[  219] ,[ 1437] *,[  765] ,[ 1545] *,[ 1637] *,[ 1070] *,[  681] ,[  422] ,[ 1948] *,[   95] ,20250111_133858_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133858_foto_normalized.npy,0.11254,0.1121,0.1125,0.07501,0.07368,0.07427
"2025-01-11,13:39:26",[  220] ,[ 1440] *,[  765] ,[ 1547] *,[ 1639] *,[ 1071] *,[  681] ,[  422] ,[ 1951] *,[   95] ,20250111_133926_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133926_foto_normalized.npy,0.11261,0.11204,0.11164,0.0751,0.07351,0.07301
"2025-01-11,13:39:48",[  219] ,[ 1439] *,[  764] ,[ 1545] *,[ 1637] *,[ 1069] *,[  680] ,[  422] ,[ 1944] *,[   95] ,20250111_133948_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133948_foto_normalized.npy,0.11182,0.11102,0.11171,0.07446,0.07247,0.07335
"2025-01-11,13:39:56",[  220] ,[ 1440] *,[  765] ,[ 1547] *,[ 1638] *,[ 1071] *,[  681] ,[  423] ,[ 1950] *,[   95] ,20250111_133956_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133956_foto_normalized.npy,0.11158,0.11117,0.11069,0.07376,0.0725,0.072
"2025-01-11,13:40:03",[  219] ,[ 1439] *,[  764] ,[ 1546] *,[ 1637] *,[ 1070] *,[  680] ,[  422] ,[ 1951] *,[   95] ,20250111_134003_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134003_foto_normalized.npy,0.11229,0.11169,0.11137,0.07442,0.07289,0.07268
"2025-01-11,13:40:13",[  219] ,[ 1439] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1952] *,[   95] ,20250111_134013_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134013_foto_normalized.npy,0.11168,0.11226,0.11165,0.07347,0.07349,0.07291
"2025-01-11,13:40:20",[  219] ,[ 1439] *,[  765] ,[ 1546] *,[ 1638] *,[ 1070] *,[  681] ,[  422] ,[ 1952] *,[   95] ,20250111_134020_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134020_foto_normalized.npy,0.11174,0.11219,0.11151,0.07377,0.07357,0.0729
"2025-01-11,13:40:30",[  219] ,[ 1440] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1947] *,[   95] ,20250111_134030_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134030_foto_normalized.npy,0.11168,0.11137,0.11074,0.07404,0.07303,0.07219
"2025-01-11,13:40:39",[  220] ,[ 1440] *,[  765] ,[ 1547] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1950] *,[   95] ,20250111_134039_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134039_foto_normalized.npy,0.11193,0.11199,0.11185,0.074,0.07322,0.07316
"2025-01-11,13:41:47",[  220] ,[ 1440] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  423] ,[ 1946] *,[   95] ,20250111_134147_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134147_foto_normalized.npy,0.11329,0.11261,0.11192,0.07589,0.07414,0.07326
"2025-01-11,13:41:57",[  219] ,[ 1439] *,[  765] ,[ 1545] *,[ 1637] *,[ 1070] *,[  680] ,[  422] ,[ 1943] *,[   95] ,20250111_134157_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134157_foto_normalized.npy,0.11312,0.11227,0.11279,0.07549,0.07352,0.07414
"2025-01-11,13:42:04",[  219] ,[ 1438] *,[  764] ,[ 1544] *,[ 1636] *,[ 1069] *,[  680] ,[  422] ,[ 1940] *,[   95] ,20250111_134204_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134204_foto_normalized.npy,0.11213,0.11173,0.11164,0.07458,0.07305,0.07294
"2025-01-11,13:42:20",[  219] ,[ 1439] *,[  765] ,[ 1546] *,[ 1637] *,[ 1070] *,[  681] ,[  422] ,[ 1943] *,[   95] ,20250111_134220_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134220_foto_normalized.npy,0.11161,0.11159,0.11117,0.07385,0.0729,0.07242
"2025-01-11,13:42:35",[  219] ,[ 1439] *,[  765] ,[ 1545] *,[ 1637] *,[ 1070] *,[  680] ,[  422] ,[ 1944] *,[   95] ,20250111_134235_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134235_foto_normalized.npy,0.11234,0.11117,0.11119,0.07471,0.07247,0.07252
"2025-01-11,13:42:56",[  220] ,[ 1439] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1946] *,[   95] ,20250111_134256_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134256_foto_normalized.npy,0.11198,0.11255,0.11183,0.07436,0.07416,0.07326
"2025-01-11,13:44:32",[  219] ,[ 1438] *,[  765] ,[ 1545] *,[ 1636] *,[ 1069] *,[  680] ,[  422] ,[ 1948] *,[   95] ,20250111_134432_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134432_foto_normalized.npy,0.1131,0.11229,0.11197,0.07553,0.07357,0.07332
"2025-01-11,13:44:47",[  219] ,[ 1438] *,[  765] ,[ 1544] *,[ 1636] *,[ 1070] *,[  680] ,[  422] ,[ 1949] *,[   95] ,20250111_134447_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134447_foto_normalized.npy,0.11265,0.11205,0.11228,0.07501,0.07334,0.07384
"2025-01-11,13:45:15",[  196] ,[ 1224] *,[  684] ,[ 1377] *,[ 1469] *,[  910] ,[  596] ,[  375] ,[ 2143] **,[  104] ,20250111_134515_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134515_foto_normalized.npy,0.10942,0.10928,0.10977,0.07131,0.07023,0.07099
"2025-01-11,13:48:53",[  196] ,[ 1222] *,[  684] ,[ 1375] *,[ 1467] *,[  909] ,[  595] ,[  375] ,[ 2140] **,[  104] ,20250111_134853_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134853_foto_normalized.npy,0.10897,0.10803,0.10891,0.07082,0.06909,0.07021
"2025-01-11,13:49:05",[  196] ,[ 1221] *,[  683] ,[ 1375] *,[ 1467] *,[  908] ,[  595] ,[  374] ,[ 2141] **,[  104] ,20250111_134905_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134905_foto_normalized.npy,0.10877,0.10828,0.10882,0.07057,0.0694,0.0701
"2025-01-11,13:49:12",[  196] ,[ 1221] *,[  683] ,[ 1375] *,[ 1466] *,[  908] ,[  595] ,[  374] ,[ 2141] **,[  104] ,20250111_134912_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134912_foto_normalized.npy,0.10904,0.10795,0.10899,0.07084,0.06887,0.07015
"2025-01-11,13:49:29",[  197] ,[ 1224] *,[  684] ,[ 1377] *,[ 1469] *,[  910] ,[  596] ,[  375] ,[ 2149] **,[  104] ,20250111_134929_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134929_foto_normalized.npy,0.10885,0.1083,0.10861,0.07073,0.06933,0.06992
"2025-01-11,13:49:41",[  195] ,[ 1218] *,[  682] ,[ 1373] *,[ 1464] *,[  906] ,[  593] ,[  374] ,[ 2140] **,[  104] ,20250111_134941_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134941_foto_normalized.npy,0.10806,0.10683,0.10737,0.06958,0.06768,0.06866
"2025-01-11,13:49:52",[  193] ,[ 1170] *,[  661] ,[ 1334] *,[ 1425] *,[  870] ,[  574] ,[  362] ,[ 2188] **,[  106] ,20250111_134952_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134952_foto_normalized.npy,0.1087,0.10772,0.10792,0.07053,0.06879,0.06929
"2025-01-11,13:50:04",[  192] ,[ 1167] *,[  660] ,[ 1331] *,[ 1423] *,[  868] ,[  573] ,[  362] ,[ 2184] **,[  106] ,20250111_135004_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135004_foto_normalized.npy,0.10691,0.10612,0.10631,0.06885,0.06744,0.06789
"2025-01-11,13:50:19",[  192] ,[ 1155] *,[  654] ,[ 1321] *,[ 1412] *,[  859] ,[  568] ,[  359] ,[ 2193] **,[  106] ,20250111_135019_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135019_foto_normalized.npy,0.10561,0.10512,0.10586,0.06767,0.06684,0.06779
"2025-01-11,13:50:35",[  191] ,[ 1132] *,[  642] ,[ 1302] *,[ 1394] *,[  840] ,[  558] ,[  353] ,[ 2214] **,[  107] ,20250111_135035_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135035_foto_normalized.npy,0.10488,0.10414,0.10516,0.06667,0.06535,0.06661
"2025-01-11,13:50:48",[  191] ,[ 1133] *,[  643] ,[ 1303] *,[ 1395] *,[  842] ,[  559] ,[  354] ,[ 2217] **,[  107] ,20250111_135048_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135048_foto_normalized.npy,0.1068,0.10678,0.1072,0.06837,0.06791,0.06845
"2025-01-11,13:51:10",[  191] ,[ 1133] *,[  643] ,[ 1303] *,[ 1395] *,[  841] ,[  558] ,[  354] ,[ 2215] **,[  107] ,20250111_135110_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135110_foto_normalized.npy,0.10754,0.10667,0.10784,0.06944,0.06787,0.06937
"2025-01-11,13:51:22",[  192] ,[ 1134] *,[  643] ,[ 1304] *,[ 1396] *,[  842] ,[  558] ,[  353] ,[ 2217] **,[  107] ,20250111_135122_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135122_foto_normalized.npy,0.10669,0.10794,0.10725,0.06806,0.06905,0.06849
"2025-01-11,13:51:34",[  191] ,[ 1133] *,[  642] ,[ 1301] *,[ 1394] *,[  841] ,[  558] ,[  354] ,[ 2216] **,[  107] ,20250111_135134_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135134_foto_normalized.npy,0.10654,0.10673,0.10582,0.06813,0.06777,0.06694
"2025-01-11,13:51:47",[  191] ,[ 1133] *,[  643] ,[ 1302] *,[ 1394] *,[  841] ,[  559] ,[  354] ,[ 2217] **,[  107] ,20250111_135147_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135147_foto_normalized.npy,0.10701,0.10639,0.10677,0.06864,0.06741,0.06814
"2025-01-11,13:51:59",[  191] ,[ 1132] *,[  643] ,[ 1302] *,[ 1394] *,[  841] ,[  558] ,[  353] ,[ 2212] **,[  107] ,20250111_135159_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135159_foto_normalized.npy,0.10614,0.10681,0.10775,0.0678,0.06821,0.06947
"2025-01-11,13:52:10",[  191] ,[ 1130] *,[  642] ,[ 1300] *,[ 1391] *,[  839] ,[  557] ,[  353] ,[ 2207] **,[  107] ,20250111_135210_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135210_foto_normalized.npy,0.10682,0.10676,0.10793,0.06836,0.06776,0.06894
"2025-01-11,13:52:22",[  191] ,[ 1132] *,[  643] ,[ 1301] *,[ 1393] *,[  840] ,[  558] ,[  353] ,[ 2213] **,[  107] ,20250111_135222_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135222_foto_normalized.npy,0.10615,0.10639,0.10697,0.06758,0.06731,0.06805
"2025-01-11,13:52:34",[  192] ,[ 1134] *,[  643] ,[ 1302] *,[ 1394] *,[  841] ,[  559] ,[  354] ,[ 2213] **,[  107] ,20250111_135234_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135234_foto_normalized.npy,0.1041,0.10098,0.10232,0.06492,0.0607,0.06239
"2025-01-11,13:52:46",[  191] ,[ 1132] *,[  643] ,[ 1300] *,[ 1392] *,[  840] ,[  558] ,[  353] ,[ 2211] **,[  107] ,20250111_135246_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135246_foto_normalized.npy,0.10642,0.10566,0.10698,0.06811,0.06686,0.06849
"2025-01-11,13:52:59",[  191] ,[ 1133] *,[  643] ,[ 1302] *,[ 1393] *,[  841] ,[  559] ,[  354] ,[ 2214] **,[  107] ,20250111_135259_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_135259_foto_normalized.npy,0.10725,0.10722,0.10712,0.0689,0.06818,0.06835
