date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file
"2025-01-11,16:04:19",[  221] ,[ 1447] *,[  768] ,[ 1563] *,[ 1659] *,[ 1088] *,[  690] ,[  428] ,[ 1910] *,[   94] ,20250111_160419_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160419_foto_normalized.npy
"2025-01-11,16:04:30",[  220] ,[ 1446] *,[  767] ,[ 1563] *,[ 1658] *,[ 1088] *,[  691] ,[  428] ,[ 1912] *,[   94] ,20250111_160430_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160430_foto_normalized.npy
"2025-01-11,16:04:39",[  220] ,[ 1445] *,[  767] ,[ 1563] *,[ 1658] *,[ 1087] *,[  690] ,[  428] ,[ 1909] *,[   94] ,20250111_160439_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160439_foto_normalized.npy
"2025-01-11,16:04:47",[  220] ,[ 1445] *,[  767] ,[ 1562] *,[ 1657] *,[ 1087] *,[  690] ,[  428] ,[ 1910] *,[   94] ,20250111_160447_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160447_foto_normalized.npy
"2025-01-11,16:04:56",[  220] ,[ 1446] *,[  767] ,[ 1562] *,[ 1658] *,[ 1088] *,[  690] ,[  428] ,[ 1912] *,[   94] ,20250111_160456_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160456_foto_normalized.npy
"2025-01-11,16:05:04",[  220] ,[ 1446] *,[  768] ,[ 1562] *,[ 1657] *,[ 1087] *,[  690] ,[  428] ,[ 1909] *,[   94] ,20250111_160504_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160504_foto_normalized.npy
"2025-01-11,16:05:12",[  220] ,[ 1447] *,[  768] ,[ 1563] *,[ 1658] *,[ 1089] *,[  691] ,[  428] ,[ 1910] *,[   94] ,20250111_160512_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160512_foto_normalized.npy
"2025-01-11,16:05:31",[  220] ,[ 1447] *,[  767] ,[ 1563] *,[ 1657] *,[ 1088] *,[  690] ,[  428] ,[ 1909] *,[   94] ,20250111_160531_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160531_foto_normalized.npy
"2025-01-11,16:05:43",[  220] ,[ 1447] *,[  767] ,[ 1562] *,[ 1657] *,[ 1087] *,[  690] ,[  428] ,[ 1909] *,[   94] ,20250111_160543_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160543_foto_normalized.npy
"2025-01-11,16:05:56",[  220] ,[ 1446] *,[  767] ,[ 1562] *,[ 1656] *,[ 1088] *,[  690] ,[  428] ,[ 1910] *,[   94] ,20250111_160556_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160556_foto_normalized.npy
"2025-01-11,16:06:09",[  220] ,[ 1446] *,[  767] ,[ 1562] *,[ 1657] *,[ 1088] *,[  690] ,[  428] ,[ 1909] *,[   94] ,20250111_160609_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160609_foto_normalized.npy
"2025-01-11,16:06:20",[  220] ,[ 1446] *,[  767] ,[ 1561] *,[ 1656] *,[ 1087] *,[  690] ,[  428] ,[ 1908] *,[   94] ,20250111_160620_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160620_foto_normalized.npy
"2025-01-11,16:06:32",[  220] ,[ 1446] *,[  767] ,[ 1562] *,[ 1656] *,[ 1087] *,[  690] ,[  428] ,[ 1906] *,[   94] ,20250111_160632_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160632_foto_normalized.npy
"2025-01-11,16:06:46",[  220] ,[ 1447] *,[  767] ,[ 1562] *,[ 1656] *,[ 1087] *,[  690] ,[  428] ,[ 1907] *,[   94] ,20250111_160646_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160646_foto_normalized.npy
"2025-01-11,16:06:58",[  220] ,[ 1447] *,[  767] ,[ 1562] *,[ 1657] *,[ 1088] *,[  690] ,[  428] ,[ 1909] *,[   94] ,20250111_160658_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160658_foto_normalized.npy
"2025-01-11,16:07:10",[  220] ,[ 1446] *,[  767] ,[ 1562] *,[ 1656] *,[ 1088] *,[  690] ,[  428] ,[ 1907] *,[   94] ,20250111_160710_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160710_foto_normalized.npy
"2025-01-11,16:07:23",[  220] ,[ 1446] *,[  766] ,[ 1561] *,[ 1656] *,[ 1087] *,[  690] ,[  428] ,[ 1906] *,[   94] ,20250111_160723_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160723_foto_normalized.npy
"2025-01-11,16:07:54",[  218] ,[ 1435] *,[  762] ,[ 1552] *,[ 1648] *,[ 1079] *,[  685] ,[  425] ,[ 1917] *,[   94] ,20250111_160754_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160754_foto_normalized.npy
"2025-01-11,16:08:11",[  215] ,[ 1416] *,[  757] ,[ 1538] *,[ 1632] *,[ 1064] *,[  677] ,[  421] ,[ 1942] *,[   95] ,20250111_160811_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160811_foto_normalized.npy
"2025-01-11,16:08:29",[  217] ,[ 1429] *,[  761] ,[ 1548] *,[ 1643] *,[ 1074] *,[  682] ,[  423] ,[ 1935] *,[   95] ,20250111_160829_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160829_foto_normalized.npy
"2025-01-11,16:08:42",[  221] ,[ 1450] *,[  768] ,[ 1564] *,[ 1659] *,[ 1089] *,[  691] ,[  428] ,[ 1911] *,[   94] ,20250111_160842_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160842_foto_normalized.npy
"2025-01-11,16:08:53",[  214] ,[ 1402] *,[  752] ,[ 1526] *,[ 1622] *,[ 1053] *,[  672] ,[  418] ,[ 1962] *,[   96] ,20250111_160853_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160853_foto_normalized.npy
"2025-01-11,16:09:04",[  214] ,[ 1408] *,[  754] ,[ 1531] *,[ 1626] *,[ 1057] *,[  673] ,[  419] ,[ 1956] *,[   96] ,20250111_160904_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160904_foto_normalized.npy
"2025-01-11,16:09:18",[  215] ,[ 1408] *,[  754] ,[ 1531] *,[ 1627] *,[ 1058] *,[  674] ,[  419] ,[ 1954] *,[   96] ,20250111_160918_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160918_foto_normalized.npy
"2025-01-11,16:09:33",[  215] ,[ 1413] *,[  756] ,[ 1535] *,[ 1630] *,[ 1061] *,[  676] ,[  420] ,[ 1955] *,[   96] ,20250111_160933_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160933_foto_normalized.npy
"2025-01-11,16:09:39",[  215] ,[ 1413] *,[  756] ,[ 1535] *,[ 1630] *,[ 1061] *,[  676] ,[  420] ,[ 1954] *,[   96] ,20250111_160939_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160939_foto_normalized.npy
"2025-01-11,16:09:59",[  203] ,[ 1306] *,[  717] ,[ 1452] *,[ 1549] *,[  982] ,[  633] ,[  396] ,[ 2059] **,[  101] ,20250111_160959_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_160959_foto_normalized.npy
"2025-01-11,16:10:23",[  207] ,[ 1342] *,[  731] ,[ 1480] *,[ 1575] *,[ 1008] *,[  647] ,[  404] ,[ 2025] **,[   99] ,20250111_161023_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161023_foto_normalized.npy
"2025-01-11,16:10:35",[  207] ,[ 1340] *,[  730] ,[ 1478] *,[ 1573] *,[ 1007] *,[  647] ,[  404] ,[ 2023] **,[   99] ,20250111_161035_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161035_foto_normalized.npy
"2025-01-11,16:10:53",[  195] ,[ 1228] *,[  686] ,[ 1388] *,[ 1483] *,[  922] ,[  602] ,[  379] ,[ 2123] **,[  104] ,20250111_161053_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161053_foto_normalized.npy
"2025-01-11,16:11:08",[  198] ,[ 1262] *,[  701] ,[ 1416] *,[ 1511] *,[  948] ,[  616] ,[  387] ,[ 2093] **,[  102] ,20250111_161108_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161108_foto_normalized.npy
"2025-01-11,16:11:22",[  234] ,[ 1529] *,[  795] ,[ 1622] *,[ 1716] *,[ 1147] *,[  720] ,[  444] ,[ 1826] *,[   90] ,20250111_161122_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161122_foto_normalized.npy
"2025-01-11,16:11:30",[  234] ,[ 1530] *,[  794] ,[ 1622] *,[ 1715] *,[ 1146] *,[  720] ,[  444] ,[ 1823] *,[   89] ,20250111_161130_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161130_foto_normalized.npy
"2025-01-11,16:11:38",[  234] ,[ 1529] *,[  794] ,[ 1621] *,[ 1716] *,[ 1147] *,[  721] ,[  444] ,[ 1821] *,[   90] ,20250111_161138_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161138_foto_normalized.npy
"2025-01-11,16:11:46",[  234] ,[ 1528] *,[  794] ,[ 1621] *,[ 1714] *,[ 1146] *,[  720] ,[  444] ,[ 1819] *,[   89] ,20250111_161146_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161146_foto_normalized.npy
"2025-01-11,16:12:10",[  232] ,[ 1518] *,[  791] ,[ 1614] *,[ 1707] *,[ 1138] *,[  716] ,[  442] ,[ 1832] *,[   90] ,20250111_161210_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161210_foto_normalized.npy
"2025-01-11,16:12:26",[  221] ,[ 1453] *,[  770] ,[ 1563] *,[ 1658] *,[ 1089] *,[  690] ,[  428] ,[ 1915] *,[   94] ,20250111_161226_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161226_foto_normalized.npy
"2025-01-11,16:12:34",[  221] ,[ 1452] *,[  770] ,[ 1563] *,[ 1657] *,[ 1089] *,[  690] ,[  428] ,[ 1912] *,[   94] ,20250111_161234_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161234_foto_normalized.npy
"2025-01-11,16:12:42",[  221] ,[ 1450] *,[  769] ,[ 1562] *,[ 1656] *,[ 1088] *,[  690] ,[  428] ,[ 1911] *,[   94] ,20250111_161242_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161242_foto_normalized.npy
"2025-01-11,16:12:55",[  220] ,[ 1444] *,[  767] ,[ 1557] *,[ 1652] *,[ 1083] *,[  687] ,[  426] ,[ 1910] *,[   94] ,20250111_161255_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161255_foto_normalized.npy
"2025-01-11,16:13:08",[  220] ,[ 1442] *,[  766] ,[ 1556] *,[ 1650] *,[ 1082] *,[  686] ,[  426] ,[ 1913] *,[   94] ,20250111_161308_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161308_foto_normalized.npy
"2025-01-11,16:13:29",[  218] ,[ 1431] *,[  763] ,[ 1547] *,[ 1642] *,[ 1074] *,[  682] ,[  424] ,[ 1925] *,[   94] ,20250111_161329_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161329_foto_normalized.npy
"2025-01-11,16:13:45",[  218] ,[ 1426] *,[  762] ,[ 1544] *,[ 1638] *,[ 1070] *,[  680] ,[  422] ,[ 1933] *,[   95] ,20250111_161345_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161345_foto_normalized.npy
"2025-01-11,16:13:59",[  214] ,[ 1398] *,[  751] ,[ 1522] *,[ 1616] *,[ 1049] *,[  669] ,[  416] ,[ 1953] *,[   96] ,20250111_161359_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161359_foto_normalized.npy
"2025-01-11,16:14:15",[  209] ,[ 1363] *,[  739] ,[ 1494] *,[ 1590] *,[ 1023] *,[  655] ,[  408] ,[ 1994] *,[   98] ,20250111_161415_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161415_foto_normalized.npy
"2025-01-11,16:14:34",[  203] ,[ 1303] *,[  717] ,[ 1447] *,[ 1543] *,[  978] ,[  632] ,[  395] ,[ 2046] **,[  100] ,20250111_161434_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161434_foto_normalized.npy
"2025-01-11,16:14:48",[  202] ,[ 1295] *,[  714] ,[ 1441] *,[ 1537] *,[  973] ,[  629] ,[  394] ,[ 2057] **,[  101] ,20250111_161448_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161448_foto_normalized.npy
"2025-01-11,16:15:01",[  201] ,[ 1287] *,[  711] ,[ 1434] *,[ 1530] *,[  967] ,[  626] ,[  392] ,[ 2066] **,[  101] ,20250111_161501_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161501_foto_normalized.npy
"2025-01-11,16:15:15",[  201] ,[ 1282] *,[  709] ,[ 1430] *,[ 1525] *,[  962] ,[  623] ,[  391] ,[ 2071] **,[  101] ,20250111_161515_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161515_foto_normalized.npy
"2025-01-11,16:15:28",[  193] ,[ 1197] *,[  674] ,[ 1361] *,[ 1456] *,[  898] ,[  589] ,[  371] ,[ 2139] **,[  105] ,20250111_161528_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161528_foto_normalized.npy
"2025-01-11,16:15:48",[  193] ,[ 1193] *,[  673] ,[ 1359] *,[ 1454] *,[  895] ,[  587] ,[  370] ,[ 2144] **,[  105] ,20250111_161548_foto.jpg,fosfato,/home/alvaro/Documents/Workspace/midi/data/static_training/camera/data/files_mnsb_data/fosfato/numpy_files/20250111_161548_foto_normalized.npy
