date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean
"2025-01-11,13:33:57",[  219] ,[ 1433] *,[  763] ,[ 1543] *,[ 1634] *,[ 1067] *,[  680] ,[  422] ,[ 1948] *,[   95] ,20250111_133357_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133357_foto_normalized.npy,0.11174,0.11115,0.11153
"2025-01-11,13:34:05",[  219] ,[ 1434] *,[  763] ,[ 1544] *,[ 1634] *,[ 1067] *,[  680] ,[  422] ,[ 1946] *,[   95] ,20250111_133405_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133405_foto_normalized.npy,0.11141,0.1109,0.11084
"2025-01-11,13:34:16",[  219] ,[ 1435] *,[  764] ,[ 1544] *,[ 1635] *,[ 1067] *,[  680] ,[  422] ,[ 1953] *,[   95] ,20250111_133416_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133416_foto_normalized.npy,0.11155,0.11097,0.11113
"2025-01-11,13:34:26",[  219] ,[ 1434] *,[  764] ,[ 1543] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1953] *,[   95] ,20250111_133426_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133426_foto_normalized.npy,0.11177,0.11049,0.1108
"2025-01-11,13:34:52",[  219] ,[ 1434] *,[  764] ,[ 1544] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1949] *,[   95] ,20250111_133452_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133452_foto_normalized.npy,0.11192,0.11158,0.11181
"2025-01-11,13:35:11",[  219] ,[ 1436] *,[  764] ,[ 1544] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1947] *,[   95] ,20250111_133511_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133511_foto_normalized.npy,0.11207,0.11075,0.11073
"2025-01-11,13:35:28",[  219] ,[ 1435] *,[  764] ,[ 1543] *,[ 1634] *,[ 1068] *,[  680] ,[  422] ,[ 1946] *,[   95] ,20250111_133528_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133528_foto_normalized.npy,0.11134,0.11116,0.11094
"2025-01-11,13:35:42",[  219] ,[ 1435] *,[  764] ,[ 1544] *,[ 1636] *,[ 1069] *,[  680] ,[  422] ,[ 1950] *,[   95] ,20250111_133542_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133542_foto_normalized.npy,0.11203,0.11125,0.11133
"2025-01-11,13:35:58",[  219] ,[ 1434] *,[  764] ,[ 1544] *,[ 1633] *,[ 1067] *,[  679] ,[  422] ,[ 1941] *,[   95] ,20250111_133558_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133558_foto_normalized.npy,0.11124,0.11025,0.11084
"2025-01-11,13:36:11",[  219] ,[ 1435] *,[  764] ,[ 1544] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1944] *,[   95] ,20250111_133611_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133611_foto_normalized.npy,0.11201,0.11116,0.11122
"2025-01-11,13:38:58",[  219] ,[ 1437] *,[  765] ,[ 1545] *,[ 1637] *,[ 1070] *,[  681] ,[  422] ,[ 1948] *,[   95] ,20250111_133858_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133858_foto_normalized.npy,0.11254,0.1121,0.1125
"2025-01-11,13:39:26",[  220] ,[ 1440] *,[  765] ,[ 1547] *,[ 1639] *,[ 1071] *,[  681] ,[  422] ,[ 1951] *,[   95] ,20250111_133926_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133926_foto_normalized.npy,0.11261,0.11204,0.11164
"2025-01-11,13:39:48",[  219] ,[ 1439] *,[  764] ,[ 1545] *,[ 1637] *,[ 1069] *,[  680] ,[  422] ,[ 1944] *,[   95] ,20250111_133948_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133948_foto_normalized.npy,0.11182,0.11102,0.11171
"2025-01-11,13:39:56",[  220] ,[ 1440] *,[  765] ,[ 1547] *,[ 1638] *,[ 1071] *,[  681] ,[  423] ,[ 1950] *,[   95] ,20250111_133956_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_133956_foto_normalized.npy,0.11158,0.11117,0.11069
"2025-01-11,13:40:03",[  219] ,[ 1439] *,[  764] ,[ 1546] *,[ 1637] *,[ 1070] *,[  680] ,[  422] ,[ 1951] *,[   95] ,20250111_134003_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134003_foto_normalized.npy,0.11229,0.11169,0.11137
"2025-01-11,13:40:13",[  219] ,[ 1439] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1952] *,[   95] ,20250111_134013_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134013_foto_normalized.npy,0.11168,0.11226,0.11165
"2025-01-11,13:40:20",[  219] ,[ 1439] *,[  765] ,[ 1546] *,[ 1638] *,[ 1070] *,[  681] ,[  422] ,[ 1952] *,[   95] ,20250111_134020_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134020_foto_normalized.npy,0.11174,0.11219,0.11151
"2025-01-11,13:40:30",[  219] ,[ 1440] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1947] *,[   95] ,20250111_134030_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134030_foto_normalized.npy,0.11168,0.11137,0.11074
"2025-01-11,13:40:39",[  220] ,[ 1440] *,[  765] ,[ 1547] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1950] *,[   95] ,20250111_134039_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134039_foto_normalized.npy,0.11193,0.11199,0.11185
"2025-01-11,13:41:47",[  220] ,[ 1440] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  423] ,[ 1946] *,[   95] ,20250111_134147_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134147_foto_normalized.npy,0.11329,0.11261,0.11192
"2025-01-11,13:41:57",[  219] ,[ 1439] *,[  765] ,[ 1545] *,[ 1637] *,[ 1070] *,[  680] ,[  422] ,[ 1943] *,[   95] ,20250111_134157_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134157_foto_normalized.npy,0.11312,0.11227,0.11279
"2025-01-11,13:42:04",[  219] ,[ 1438] *,[  764] ,[ 1544] *,[ 1636] *,[ 1069] *,[  680] ,[  422] ,[ 1940] *,[   95] ,20250111_134204_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134204_foto_normalized.npy,0.11213,0.11173,0.11164
"2025-01-11,13:42:20",[  219] ,[ 1439] *,[  765] ,[ 1546] *,[ 1637] *,[ 1070] *,[  681] ,[  422] ,[ 1943] *,[   95] ,20250111_134220_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134220_foto_normalized.npy,0.11161,0.11159,0.11117
"2025-01-11,13:42:35",[  219] ,[ 1439] *,[  765] ,[ 1545] *,[ 1637] *,[ 1070] *,[  680] ,[  422] ,[ 1944] *,[   95] ,20250111_134235_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134235_foto_normalized.npy,0.11234,0.11117,0.11119
"2025-01-11,13:42:56",[  220] ,[ 1439] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1946] *,[   95] ,20250111_134256_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134256_foto_normalized.npy,0.11198,0.11255,0.11183
"2025-01-11,13:44:32",[  219] ,[ 1438] *,[  765] ,[ 1545] *,[ 1636] *,[ 1069] *,[  680] ,[  422] ,[ 1948] *,[   95] ,20250111_134432_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134432_foto_normalized.npy,0.1131,0.11229,0.11197
"2025-01-11,13:44:47",[  219] ,[ 1438] *,[  765] ,[ 1544] *,[ 1636] *,[ 1070] *,[  680] ,[  422] ,[ 1949] *,[   95] ,20250111_134447_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134447_foto_normalized.npy,0.11265,0.11205,0.11228
"2025-01-11,13:45:15",[  196] ,[ 1224] *,[  684] ,[ 1377] *,[ 1469] *,[  910] ,[  596] ,[  375] ,[ 2143] **,[  104] ,20250111_134515_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134515_foto_normalized.npy,0.10942,0.10928,0.10977
"2025-01-11,13:48:53",[  196] ,[ 1222] *,[  684] ,[ 1375] *,[ 1467] *,[  909] ,[  595] ,[  375] ,[ 2140] **,[  104] ,20250111_134853_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134853_foto_normalized.npy,0.10897,0.10803,0.10891
"2025-01-11,13:49:05",[  196] ,[ 1221] *,[  683] ,[ 1375] *,[ 1467] *,[  908] ,[  595] ,[  374] ,[ 2141] **,[  104] ,20250111_134905_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134905_foto_normalized.npy,0.10877,0.10828,0.10882
"2025-01-11,13:49:12",[  196] ,[ 1221] *,[  683] ,[ 1375] *,[ 1466] *,[  908] ,[  595] ,[  374] ,[ 2141] **,[  104] ,20250111_134912_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134912_foto_normalized.npy,0.10904,0.10795,0.10899
"2025-01-11,13:49:29",[  197] ,[ 1224] *,[  684] ,[ 1377] *,[ 1469] *,[  910] ,[  596] ,[  375] ,[ 2149] **,[  104] ,20250111_134929_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134929_foto_normalized.npy,0.10885,0.1083,0.10861
"2025-01-11,13:49:41",[  195] ,[ 1218] *,[  682] ,[ 1373] *,[ 1464] *,[  906] ,[  593] ,[  374] ,[ 2140] **,[  104] ,20250111_134941_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134941_foto_normalized.npy,0.10806,0.10683,0.10737
"2025-01-11,13:49:52",[  193] ,[ 1170] *,[  661] ,[ 1334] *,[ 1425] *,[  870] ,[  574] ,[  362] ,[ 2188] **,[  106] ,20250111_134952_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_134952_foto_normalized.npy,0.1087,0.10772,0.10792
"2025-01-11,13:50:04",[  192] ,[ 1167] *,[  660] ,[ 1331] *,[ 1423] *,[  868] ,[  573] ,[  362] ,[ 2184] **,[  106] ,20250111_135004_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135004_foto_normalized.npy,0.10691,0.10612,0.10631
"2025-01-11,13:50:19",[  192] ,[ 1155] *,[  654] ,[ 1321] *,[ 1412] *,[  859] ,[  568] ,[  359] ,[ 2193] **,[  106] ,20250111_135019_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135019_foto_normalized.npy,0.10561,0.10512,0.10586
"2025-01-11,13:50:35",[  191] ,[ 1132] *,[  642] ,[ 1302] *,[ 1394] *,[  840] ,[  558] ,[  353] ,[ 2214] **,[  107] ,20250111_135035_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135035_foto_normalized.npy,0.10488,0.10414,0.10516
"2025-01-11,13:50:48",[  191] ,[ 1133] *,[  643] ,[ 1303] *,[ 1395] *,[  842] ,[  559] ,[  354] ,[ 2217] **,[  107] ,20250111_135048_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135048_foto_normalized.npy,0.1068,0.10678,0.1072
"2025-01-11,13:51:10",[  191] ,[ 1133] *,[  643] ,[ 1303] *,[ 1395] *,[  841] ,[  558] ,[  354] ,[ 2215] **,[  107] ,20250111_135110_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135110_foto_normalized.npy,0.10754,0.10667,0.10784
"2025-01-11,13:51:22",[  192] ,[ 1134] *,[  643] ,[ 1304] *,[ 1396] *,[  842] ,[  558] ,[  353] ,[ 2217] **,[  107] ,20250111_135122_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135122_foto_normalized.npy,0.10669,0.10794,0.10725
"2025-01-11,13:51:34",[  191] ,[ 1133] *,[  642] ,[ 1301] *,[ 1394] *,[  841] ,[  558] ,[  354] ,[ 2216] **,[  107] ,20250111_135134_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135134_foto_normalized.npy,0.10654,0.10673,0.10582
"2025-01-11,13:51:47",[  191] ,[ 1133] *,[  643] ,[ 1302] *,[ 1394] *,[  841] ,[  559] ,[  354] ,[ 2217] **,[  107] ,20250111_135147_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135147_foto_normalized.npy,0.10701,0.10639,0.10677
"2025-01-11,13:51:59",[  191] ,[ 1132] *,[  643] ,[ 1302] *,[ 1394] *,[  841] ,[  558] ,[  353] ,[ 2212] **,[  107] ,20250111_135159_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135159_foto_normalized.npy,0.10614,0.10681,0.10775
"2025-01-11,13:52:10",[  191] ,[ 1130] *,[  642] ,[ 1300] *,[ 1391] *,[  839] ,[  557] ,[  353] ,[ 2207] **,[  107] ,20250111_135210_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135210_foto_normalized.npy,0.10682,0.10676,0.10793
"2025-01-11,13:52:22",[  191] ,[ 1132] *,[  643] ,[ 1301] *,[ 1393] *,[  840] ,[  558] ,[  353] ,[ 2213] **,[  107] ,20250111_135222_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135222_foto_normalized.npy,0.10615,0.10639,0.10697
"2025-01-11,13:52:34",[  192] ,[ 1134] *,[  643] ,[ 1302] *,[ 1394] *,[  841] ,[  559] ,[  354] ,[ 2213] **,[  107] ,20250111_135234_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135234_foto_normalized.npy,0.1041,0.10098,0.10232
"2025-01-11,13:52:46",[  191] ,[ 1132] *,[  643] ,[ 1300] *,[ 1392] *,[  840] ,[  558] ,[  353] ,[ 2211] **,[  107] ,20250111_135246_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135246_foto_normalized.npy,0.10642,0.10566,0.10698
"2025-01-11,13:52:59",[  191] ,[ 1133] *,[  643] ,[ 1302] *,[ 1393] *,[  841] ,[  559] ,[  354] ,[ 2214] **,[  107] ,20250111_135259_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135259_foto_normalized.npy,0.10725,0.10722,0.10712
"2025-01-11,13:53:11",[  191] ,[ 1132] *,[  643] ,[ 1301] *,[ 1393] *,[  840] ,[  558] ,[  354] ,[ 2210] **,[  107] ,20250111_135311_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135311_foto_normalized.npy,0.1068,0.10606,0.10734
"2025-01-11,13:53:29",[  191] ,[ 1132] *,[  643] ,[ 1301] *,[ 1393] *,[  840] ,[  558] ,[  353] ,[ 2210] **,[  107] ,20250111_135329_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135329_foto_normalized.npy,0.1067,0.10689,0.10724
"2025-01-11,13:53:41",[  191] ,[ 1132] *,[  643] ,[ 1301] *,[ 1393] *,[  841] ,[  558] ,[  353] ,[ 2214] **,[  107] ,20250111_135341_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135341_foto_normalized.npy,0.10665,0.10584,0.10629
"2025-01-11,13:53:53",[  191] ,[ 1131] *,[  642] ,[ 1302] *,[ 1392] *,[  839] ,[  557] ,[  353] ,[ 2210] **,[  107] ,20250111_135353_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135353_foto_normalized.npy,0.1053,0.10427,0.10626
